player_name,neutral_skill_sg,neutral_skill_index,data_depth_class,baseline_confidence_band,true_sg_total,true_sg_ott,true_sg_app,true_sg_arg,true_sg_putt,sg_putt_surface,recent_form_index,form_score_adjusted,comp_course_adjustment_prelim,venue_history_rounds,venue_history_sg,named_risk_tags,likely_anti_pattern_flags,missing_data_notes
Matthew Baldwin,-0.13,10.32,DEBUT,not_available_in_v3_source,-1.75,-0.081,-0.712,-0.416,-0.488,not_available_in_v3_source,48.44,48.44,not_available_in_v3_source,0,,approach liability in primary scoring zone; putting volatility on links fescue; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Poor Links Putter — below-field on fescue; links surfaces amplify weak putting; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Tiger Christensen,-0.11,3.87,DEBUT,not_available_in_v3_source,-2.21,0,0,0,0,not_available_in_v3_source,48.68,48.68,not_available_in_v3_source,0,,below-field structural skill profile,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Matthew Southgate,0.7,5.81,FULL,not_available_in_v3_source,-1.25,-0.069,-0.377,-0.72,-1.139,not_available_in_v3_source,58.4,58.4,not_available_in_v3_source,1,2.552,approach liability in primary scoring zone; putting volatility on links fescue; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Poor Links Putter — below-field on fescue; links surfaces amplify weak putting; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Nevill Ruiter,0.96,3.23,DEBUT,not_available_in_v3_source,-1.53,0.324,0.082,-0.548,-1.671,not_available_in_v3_source,61.52,61.52,not_available_in_v3_source,0,,putting volatility on links fescue; below-field structural skill profile,Anti-pattern flags: Poor Links Putter — below-field on fescue; links surfaces amplify weak putting; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Lev Grinberg,0.64,10.97,DEBUT,not_available_in_v3_source,-0.94,-0.652,-1.284,-0.604,-0.163,not_available_in_v3_source,57.68,57.68,not_available_in_v3_source,0,,approach liability in primary scoring zone; putting volatility on links fescue; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Poor Links Putter — below-field on fescue; links surfaces amplify weak putting; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
David Duval,0.5,0.65,FULL,not_available_in_v3_source,-2.89,0,0,0,0,not_available_in_v3_source,56.0,56.0,not_available_in_v3_source,2,-0.248,below-field structural skill profile,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Naoyuki Kataoka,-0.26,9.03,DEBUT,not_available_in_v3_source,-1.95,-1.0,-2.9,-1.693,0.249,not_available_in_v3_source,46.88,46.88,not_available_in_v3_source,0,,approach liability in primary scoring zone; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Fifa Laopakdee,-0.74,8.39,DEBUT,not_available_in_v3_source,-2.48,-1.948,-1.192,-0.501,0.297,not_available_in_v3_source,41.12,41.12,not_available_in_v3_source,0,,approach liability in primary scoring zone; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Mason Howell,-0.31,7.74,DEBUT,not_available_in_v3_source,-2.11,0.243,-1.094,-0.877,-0.697,not_available_in_v3_source,46.28,46.28,not_available_in_v3_source,0,,approach liability in primary scoring zone; putting volatility on links fescue; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale; Poor Links Putter — below-field on fescue; links surfaces amplify weak putting; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Mateo Pulcini,0.69,2.58,DEBUT,not_available_in_v3_source,-2.06,-0.722,-0.693,-1.239,-1.436,not_available_in_v3_source,58.28,58.28,not_available_in_v3_source,0,,approach liability in primary scoring zone; putting volatility on links fescue; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Poor Links Putter — below-field on fescue; links surfaces amplify weak putting; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Tom Sloman,-0.34,1.29,DEBUT,not_available_in_v3_source,-3.42,-0.332,-2.853,-1.285,-0.408,not_available_in_v3_source,45.92,45.92,not_available_in_v3_source,0,,approach liability in primary scoring zone; putting volatility on links fescue; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Poor Links Putter — below-field on fescue; links surfaces amplify weak putting; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
