player_name,dg_id,event_name,course_name,VenueDNA_rank,VenueDNA_tier,VenueDNA_final_projection,VenueDNA_neutral_skill,VenueDNA_venue_fit_delta,VenueDNA_venue_history_delta,VenueDNA_penalties_total,VenueDNA_confidence_band,VenueDNA_primary_case,VenueDNA_key_risk,VenueDNA_failure_condition,VenueDNA_conviction,VenueDNA_trait_approach,VenueDNA_trait_long_iron_150_225,VenueDNA_trait_total_driving,VenueDNA_trait_par5_scoring,VenueDNA_trait_easy_green_putting,VenueDNA_trait_course_history,anti_pattern_flags,risk_flags,tags,r1_tee_time,r1_wave,r1_start_hole,r2_tee_time,r2_wave,r2_start_hole,DG_finalprediction_benchmark,DG_stddev_benchmark,DG_coursefittotaladj_benchmark
"Whaley, Vince",25908,3M Open,TPC Twin Cities,87,T5,48.5,52.7,-0.2674,-0.036,-6.0,low,NSI 52.7/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.089); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; 150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention; putting-reliant profile; easy bentgrass greens compress the putting edge that drives results at trickier venues,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,30.7,25.6,27.8,43.4,83.2,31.0,accuracy_risk|putting_dependency|long_iron_deficit,accuracy_risk|putting_dependency|long_iron_deficit,T5|flag_accuracy_risk|flag_putting_dependency|flag_long_iron_deficit,6:45 AM,early,10,12:00 PM,late,1,-0.621,2.754,-0.109
"Yu, Kevin",17881,3M Open,TPC Twin Cities,88,T5,48.1,55.4,-0.4651,-0.033,0,high,NSI 55.4/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,below-field approach and/or iron play limits scoring capacity in TPC's birdiefest environment where approach is the primary separator,Approach play below field median for the week; TPC's scoring environment still requires birdie volume that cannot be manufactured from short-game rescue alone,low,59.4,60.0,59.8,40.6,36.0,32.4,,,T5|approach_solid,12:44 PM,late,10,7:29 AM,early,1,0.19,2.768,-0.075
"Dou, Zecheng",16757,3M Open,TPC Twin Cities,89,T5,48.0,54.9,-0.438,-0.02,-2.0,medium,Approach trait score 70/100; consistent iron play into receptive bentgrass greens creates sustainable birdie conversion without reliance on putting rescue,driving accuracy flag active (adj -0.048); penalty exposure on 9 water-threatened driving holes is the primary downside scenario,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,70.1,70.7,40.4,44.8,51.2,38.3,accuracy_risk,accuracy_risk,T5|approach_elite|long_iron_elite|flag_accuracy_risk,8:46 AM,early,10,2:01 PM,late,1,0.024,2.797,-0.102
"Shipley, Neal",32055,3M Open,TPC Twin Cities,90,T5,48.0,46.9,0.0654,0.018,-2.0,medium,Off-the-tee SG (+0.65/round) provides the controlled power model; distance with accuracy avoids the water threats that punish erratic bombers,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,low,54.7,56.0,79.3,43.2,24.4,55.8,long_iron_deficit,long_iron_deficit,T5|venue_fit_upside|flag_long_iron_deficit,2:01 PM,late,1,8:46 AM,early,10,-0.482,2.867,-0.016
"Skinns, David",10873,3M Open,TPC Twin Cities,91,T5,47.8,47.9,-0.0154,0.041,-2.0,medium,NSI 47.9/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.032); penalty exposure on 9 water-threatened driving holes is the primary downside scenario,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,53.3,56.1,44.6,50.1,56.4,66.3,accuracy_risk,accuracy_risk,T5|flag_accuracy_risk,2:01 PM,late,10,8:46 AM,early,1,-0.392,2.812,-0.029
"Svensson, Jesper",26850,3M Open,TPC Twin Cities,92,T5,47.4,52.5,-0.3307,0.018,-4.0,low,Off-the-tee SG (+0.49/round) provides the controlled power model; distance with accuracy avoids the water threats that punish erratic bombers,driving accuracy flag active (adj -0.033); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; 150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,41.2,35.5,72.6,25.3,49.6,55.8,accuracy_risk|long_iron_deficit,accuracy_risk|long_iron_deficit,T5|flag_accuracy_risk|flag_long_iron_deficit,1:50 PM,late,1,8:35 AM,early,10,-0.046,2.91,-0.176
"Crowe, Trace",27780,3M Open,TPC Twin Cities,93,T5,47.2,51.3,-0.2613,0.027,-4.0,low,NSI 51.3/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.058); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; 150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,48.8,45.7,54.4,40.5,51.3,59.9,accuracy_risk|long_iron_deficit,accuracy_risk|long_iron_deficit,T5|flag_accuracy_risk|flag_long_iron_deficit,8:46 AM,early,1,2:01 PM,late,10,-0.434,2.816,-0.113
"Walker, Danny",25003,3M Open,TPC Twin Cities,94,T5,46.8,38.7,0.5,-0.009,-4.0,low,Similar-course delta fit (+0.500 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,driving accuracy flag active (adj -0.094); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; 150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,29.5,32.4,37.2,36.8,24.3,43.4,accuracy_risk|long_iron_deficit,accuracy_risk|long_iron_deficit,T5|venue_fit_upside|flag_accuracy_risk|flag_long_iron_deficit,8:13 AM,early,1,1:28 PM,late,10,-1.258,2.982,-0.149
"Roy, Kevin",18424,3M Open,TPC Twin Cities,95,T5,46.7,54.5,-0.5,-0.001,-4.0,low,NSI 54.5/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention; short-game-only profile; TPC does not reward scrambling over ball-striking,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,low,42.9,41.9,55.1,44.3,55.3,47.1,short_game_only|long_iron_deficit,short_game_only|long_iron_deficit,T5|flag_short_game_only|flag_long_iron_deficit,8:02 AM,early,1,1:17 PM,late,10,0.057,2.804,-0.015
"Streelman, Kevin",8480,3M Open,TPC Twin Cities,96,T5,46.0,43.9,0.1231,0.039,0,high,Similar-course delta fit (+0.123 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,below-field approach and/or iron play limits scoring capacity in TPC's birdiefest environment where approach is the primary separator,Approach play below field median for the week; TPC's scoring environment still requires birdie volume that cannot be manufactured from short-game rescue alone,low,52.2,51.9,44.1,62.4,51.9,65.4,,,T5|venue_fit_upside,12:55 PM,late,10,7:40 AM,early,1,-0.695,2.804,0.102
"Wu, Dylan",25002,3M Open,TPC Twin Cities,97,T5,46.0,46.4,-0.035,0.001,-2.0,medium,NSI 46.4/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,low,55.9,51.7,32.8,57.0,38.2,48.0,long_iron_deficit,long_iron_deficit,T5|approach_solid|flag_long_iron_deficit,6:56 AM,early,10,12:11 PM,late,1,-0.526,2.728,0.029
"Vilips, Karl",24304,3M Open,TPC Twin Cities,98,T5,45.7,53.4,-0.5,-0.007,-6.0,low,Approach trait score 62/100; consistent iron play into receptive bentgrass greens creates sustainable birdie conversion without reliance on putting rescue,driving accuracy flag active (adj -0.065); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; 150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention; putting-reliant profile; easy bentgrass greens compress the putting edge that drives results at trickier venues,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,61.9,55.9,33.4,48.5,71.0,44.3,accuracy_risk|putting_dependency|long_iron_deficit,accuracy_risk|putting_dependency|long_iron_deficit,T5|approach_solid|flag_accuracy_risk|flag_putting_dependency|flag_long_iron_deficit,7:29 AM,early,1,12:44 PM,late,10,-0.357,2.807,-0.087
"Stanger, Jimmy",23048,3M Open,TPC Twin Cities,99,T5,45.4,41.8,0.2111,0,-4.0,low,Similar-course delta fit (+0.211 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,driving accuracy flag active (adj -0.034); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; 150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,0.0,0.0,71.0,25.2,49.1,45.0,accuracy_risk|long_iron_deficit,accuracy_risk|long_iron_deficit,T5|venue_fit_upside|flag_accuracy_risk|flag_long_iron_deficit,1:28 PM,late,10,8:13 AM,early,1,-0.922,2.877,-0.124
"Dunlap, Nick",28270,3M Open,TPC Twin Cities,100,T5,45.3,44.1,0.0642,-0.036,-4.0,low,NSI 44.1/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.091); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; 150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,52.3,55.8,18.2,53.2,56.4,31.0,accuracy_risk|long_iron_deficit,accuracy_risk|long_iron_deficit,T5|venue_fit_upside|flag_accuracy_risk|flag_long_iron_deficit,12:22 PM,late,1,7:07 AM,early,10,-0.481,2.799,-0.066
"Hirata, Kensei",20954,3M Open,TPC Twin Cities,101,T5,44.7,39.9,0.2902,0,-2.0,medium,Similar-course delta fit (+0.290 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,low,36.3,42.7,48.5,60.3,39.3,45.0,long_iron_deficit,long_iron_deficit,T5|venue_fit_upside|flag_long_iron_deficit,2:01 PM,late,1,8:46 AM,early,10,-0.574,2.829,0.162
"Champ, Cameron",23542,3M Open,TPC Twin Cities,102,T5,44.2,38.4,0.3535,0.089,-2.0,medium,Similar-course delta fit (+0.353 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,driving accuracy flag active (adj -0.045); penalty exposure on 9 water-threatened driving holes is the primary downside scenario,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,38.2,52.0,43.7,22.6,unknown,88.4,accuracy_risk,accuracy_risk,T5|venue_fit_upside|venue_experience|flag_accuracy_risk,12:11 PM,late,10,6:56 AM,early,1,-1.018,2.954,-0.216
"Nyholm, Pontus",25475,3M Open,TPC Twin Cities,103,T5,44.2,45.0,-0.0648,0,-4.0,low,NSI 45.0/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.106); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; 150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,36.7,36.3,42.4,28.2,53.7,45.0,accuracy_risk|long_iron_deficit,accuracy_risk|long_iron_deficit,T5|flag_accuracy_risk|flag_long_iron_deficit,1:28 PM,late,10,8:13 AM,early,1,-0.752,2.879,-0.229
"Peterson, Paul",16341,3M Open,TPC Twin Cities,104,T5,43.9,46.6,-0.1874,-0.002,-2.0,medium,NSI 46.6/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,low,58.6,50.2,23.0,86.6,50.0,46.6,long_iron_deficit,long_iron_deficit,T5|approach_solid|flag_long_iron_deficit,1:39 PM,late,10,8:24 AM,early,1,-0.165,2.638,0.339
"Springer, Hayden",21995,3M Open,TPC Twin Cities,105,T5,43.9,48.0,-0.2705,-0.003,-4.0,low,NSI 48.0/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.066); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; 150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,34.5,34.3,41.9,36.7,61.3,46.1,accuracy_risk|long_iron_deficit,accuracy_risk|long_iron_deficit,T5|flag_accuracy_risk|flag_long_iron_deficit,8:46 AM,early,1,2:01 PM,late,10,-0.677,2.848,-0.13
"Hoge, Tom",15575,3M Open,TPC Twin Cities,106,T5,43.3,51.0,-0.5,-0.008,-2.0,medium,NSI 51.0/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,low,58.3,52.7,34.6,61.3,45.8,43.8,long_iron_deficit,long_iron_deficit,T5|approach_solid|venue_experience|flag_long_iron_deficit,12:00 PM,late,10,6:45 AM,early,1,-0.049,2.792,0.075
"Gomez, Fabian",8571,3M Open,TPC Twin Cities,107,T5,43.0,42.7,0.0,0.026,0,low,NSI 42.7/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,below-field approach and/or iron play limits scoring capacity in TPC's birdiefest environment where approach is the primary separator,Approach play below field median for the week; TPC's scoring environment still requires birdie volume that cannot be manufactured from short-game rescue alone,low,50.1,46.3,60.9,70.1,unknown,59.4,,,T5|debut,1:17 PM,late,1,8:02 AM,early,10,-0.461,2.718,0.207
"Clanton, Luke",32330,3M Open,TPC Twin Cities,108,T5,42.5,43.9,-0.1066,-0.021,-2.0,medium,NSI 43.9/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.031); penalty exposure on 9 water-threatened driving holes is the primary downside scenario,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,56.0,52.6,28.8,46.4,30.1,37.9,accuracy_risk,accuracy_risk,T5|approach_solid|flag_accuracy_risk,1:28 PM,late,1,8:13 AM,early,10,-0.545,2.83,-0.052
"Van Rooyen, Erik",17550,3M Open,TPC Twin Cities,109,T5,42.0,49.6,-0.5,-0.075,-6.0,low,NSI 49.6/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.030); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; 150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention; putting-reliant profile; easy bentgrass greens compress the putting edge that drives results at trickier venues,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,26.9,22.8,50.6,41.4,78.8,13.1,accuracy_risk|putting_dependency|long_iron_deficit,accuracy_risk|putting_dependency|long_iron_deficit,T5|flag_accuracy_risk|flag_putting_dependency|flag_long_iron_deficit,7:07 AM,early,1,12:22 PM,late,10,-0.502,2.796,-0.054
"Phillips, Chandler",27164,3M Open,TPC Twin Cities,110,T5,41.9,49.5,-0.5,-0.029,-4.0,low,NSI 49.5/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention; short-game-only profile; TPC does not reward scrambling over ball-striking,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,low,30.2,25.6,40.5,51.9,64.7,34.2,short_game_only|long_iron_deficit,short_game_only|long_iron_deficit,T5|flag_short_game_only|flag_long_iron_deficit,8:13 AM,early,1,1:28 PM,late,10,-0.263,2.74,0.039
"Wise, Aaron",22051,3M Open,TPC Twin Cities,111,T5,41.7,41.2,0.0098,-0.005,-4.0,low,NSI 41.2/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.045); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; 150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,34.8,35.1,33.5,44.8,50.7,45.2,accuracy_risk|long_iron_deficit,accuracy_risk|long_iron_deficit,T5|flag_accuracy_risk|flag_long_iron_deficit,12:44 PM,late,10,7:29 AM,early,1,-0.445,2.803,-0.055
"Donohue, Muzzy",33994,3M Open,TPC Twin Cities,112,T5,41.6,41.3,0.0,0,-2.0,low,NSI 41.3/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.100); penalty exposure on 9 water-threatened driving holes is the primary downside scenario,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,unknown,unknown,56.7,100.0,unknown,45.0,accuracy_risk,accuracy_risk,T5|debut|flag_accuracy_risk,2:01 PM,late,1,8:46 AM,early,10,-6.22,3.35,0.042
"Highsmith, Joe",28469,3M Open,TPC Twin Cities,113,T5,41.4,38.6,0.1548,0.008,-4.0,low,Similar-course delta fit (+0.155 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,driving accuracy flag active (adj -0.027); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; 150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,51.4,46.9,34.9,49.5,34.0,51.2,accuracy_risk|long_iron_deficit,accuracy_risk|long_iron_deficit,T5|venue_fit_upside|flag_accuracy_risk|flag_long_iron_deficit,7:29 AM,early,1,12:44 PM,late,10,-0.529,2.853,-0.027
"Hadwin, Adam",13965,3M Open,TPC Twin Cities,114,T5,41.1,44.6,-0.2454,0.039,-2.0,medium,NSI 44.6/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,low,47.4,50.3,42.1,53.0,37.7,65.4,long_iron_deficit,long_iron_deficit,T5|venue_experience|flag_long_iron_deficit,8:02 AM,early,10,1:17 PM,late,1,-0.444,2.833,0.032
"Kang, Jeffrey",21889,3M Open,TPC Twin Cities,115,T5,40.5,42.5,-0.1499,0,-2.0,medium,NSI 42.5/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.066); penalty exposure on 9 water-threatened driving holes is the primary downside scenario,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,34.2,38.5,28.0,50.2,34.0,45.0,accuracy_risk,accuracy_risk,T5|flag_accuracy_risk,8:24 AM,early,1,1:39 PM,late,10,-0.823,2.846,-0.035
"Campbell, Brian",18628,3M Open,TPC Twin Cities,116,T5,40.4,40.4,-0.0239,0,-2.0,medium,NSI 40.4/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,low,45.4,48.8,24.4,77.7,54.3,45.0,long_iron_deficit,long_iron_deficit,T5|flag_long_iron_deficit,12:33 PM,late,10,7:18 AM,early,1,-0.818,2.793,0.251
"Duncan, Tyler",18187,3M Open,TPC Twin Cities,117,T5,40.4,40.9,-0.0538,0.011,0,high,Long-iron SG of +0.052/shot from 150-200 fw is the primary birdie creation mechanism at TPC; 46% of weekly approaches fall in this range,below-field approach and/or iron play limits scoring capacity in TPC's birdiefest environment where approach is the primary separator,Approach play below field median for the week; TPC's scoring environment still requires birdie volume that cannot be manufactured from short-game rescue alone,low,64.9,54.3,59.8,68.0,unknown,52.6,,,T5|approach_solid|venue_experience,6:56 AM,early,1,12:11 PM,late,10,-0.547,2.792,0.182
"Mazzoli, Stefano",20844,3M Open,TPC Twin Cities,118,T5,40.0,39.6,0.0,0,-2.0,low,NSI 39.6/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.029); penalty exposure on 9 water-threatened driving holes is the primary downside scenario,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,unknown,unknown,53.0,43.2,62.0,45.0,accuracy_risk,accuracy_risk,T5|debut|flag_accuracy_risk,12:55 PM,late,10,7:40 AM,early,1,-0.727,2.853,-0.064
"Malnati, Peter",14926,3M Open,TPC Twin Cities,119,T5,39.8,40.6,-0.0754,-0.014,-8.0,low,NSI 40.6/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.108); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; 150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention; putting-reliant profile; easy bentgrass greens compress the putting edge that drives results at trickier venues; short-game-only profile; TPC does not reward scrambling over ball-striking,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,28.2,32.3,15.5,52.4,72.3,41.1,accuracy_risk|short_game_only|putting_dependency|long_iron_deficit,accuracy_risk|short_game_only|putting_dependency|long_iron_deficit,T5|venue_experience|flag_accuracy_risk|flag_short_game_only|flag_putting_dependency|flag_long_iron_deficit,12:00 PM,late,10,6:45 AM,early,1,-0.958,2.834,-0.068
"Tosti, Alejandro",17032,3M Open,TPC Twin Cities,120,T5,39.6,33.2,0.3733,-0.049,-4.0,low,Similar-course delta fit (+0.373 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,driving accuracy flag active (adj -0.062); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; 150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,18.0,8.8,62.1,27.4,16.2,25.0,accuracy_risk|long_iron_deficit,accuracy_risk|long_iron_deficit,T5|venue_fit_upside|flag_accuracy_risk|flag_long_iron_deficit,8:35 AM,early,1,1:50 PM,late,10,-0.939,2.98,-0.163
"Rozo, Marcelo",16591,3M Open,TPC Twin Cities,121,T5,39.4,34.1,0.3039,0,-2.0,medium,Similar-course delta fit (+0.304 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,low,44.2,44.5,50.3,60.9,0.0,45.0,long_iron_deficit,long_iron_deficit,T5|venue_fit_upside|flag_long_iron_deficit,8:24 AM,early,1,1:39 PM,late,10,-1.127,2.864,0.145
"Villegas, Camilo",9171,3M Open,TPC Twin Cities,122,T5,39.1,37.2,0.0898,0.016,-4.0,low,Similar-course delta fit (+0.090 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,driving accuracy flag active (adj -0.058); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; 150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,39.5,30.7,20.9,63.0,47.7,54.9,accuracy_risk|long_iron_deficit,accuracy_risk|long_iron_deficit,T5|venue_fit_upside|flag_accuracy_risk|flag_long_iron_deficit,8:13 AM,early,10,1:28 PM,late,1,-0.959,2.832,0.044
"Merritt, Troy",13367,3M Open,TPC Twin Cities,123,T5,39.0,37.7,0.0526,0.013,-2.0,medium,NSI 37.7/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,low,47.4,50.2,55.3,60.9,unknown,53.5,long_iron_deficit,long_iron_deficit,T5|venue_fit_upside|venue_experience|flag_long_iron_deficit,1:06 PM,late,1,7:51 AM,early,10,-0.945,2.837,0.063
"Hardy, Nick",19865,3M Open,TPC Twin Cities,124,T5,38.0,40.2,-0.17,0.033,-2.0,medium,NSI 40.2/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.050); penalty exposure on 9 water-threatened driving holes is the primary downside scenario,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,37.9,45.1,48.9,40.3,37.2,62.7,accuracy_risk,accuracy_risk,T5|venue_experience|flag_accuracy_risk,7:51 AM,early,10,1:06 PM,late,1,-0.764,2.796,-0.093
"Lamprecht, Christo",24343,3M Open,TPC Twin Cities,125,T5,37.6,36.6,0.0328,0,-4.0,low,NSI 36.6/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.131); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; 150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,0.0,0.0,47.9,9.8,37.5,45.0,accuracy_risk|long_iron_deficit,accuracy_risk|long_iron_deficit,T5|flag_accuracy_risk|flag_long_iron_deficit,1:50 PM,late,1,8:35 AM,early,10,-1.879,3.059,-0.315
"Paul, Jeremy",22087,3M Open,TPC Twin Cities,126,T5,36.3,36.2,-0.0206,-0.002,-4.0,low,NSI 36.2/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.070); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; 150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,19.6,21.0,49.4,42.8,unknown,46.6,accuracy_risk|long_iron_deficit,accuracy_risk|long_iron_deficit,T5|flag_accuracy_risk|flag_long_iron_deficit,1:28 PM,late,10,8:13 AM,early,1,-1.449,2.897,-0.08
